"Region_nam","year","regionSupply_mm","regionDemand_mm"
"Atlantic Coast","2009",654.45310964553,1.513318005794
"Atlantic Coast","2010",378.594808410308,5.58464627069109
"Atlantic Coast","2011",225.880289544714,6.63088627898922
"Atlantic Coast","2012",228.17694932608,6.12127785492853
"Atlantic Coast","2013",410.004748258823,3.85608185091905
"Atlantic Coast","2014",371.836604446045,5.69942113563481
"Atlantic Coast","2015",368.066225044328,5.5813077226967
"Atlantic Coast","2016",367.094526861848,5.61478902340501
"Atlantic Coast","2017",269.760559354629,4.60890899138673
"Atlantic Coast","2018",473.081289692315,4.00717454265006
"Atlantic Coast","2019",365.880235693329,5.75799698357987
"Atlantic Coast","2020",443.716951245049,4.38294993174839
"California-Nevada","2009",28.1209257923033,7.55512284038812
"California-Nevada","2010",91.9952618557961,29.4227804848943
"California-Nevada","2011",114.779841934516,26.0529024232525
"California-Nevada","2012",55.6824702660723,32.7463138565793
"California-Nevada","2013",35.113683813698,36.6676537290992
"California-Nevada","2014",37.4796692249883,35.5483350720026
"California-Nevada","2015",32.3422404165903,33.7932994902871
"California-Nevada","2016",80.9934920319987,32.2706803528338
"California-Nevada","2017",159.479892332261,31.9747673868251
"California-Nevada","2018",43.7278808714092,35.4226294572851
"California-Nevada","2019",129.283420724306,31.6364077847662
"California-Nevada","2020",39.81413669892,36.6432474547237
"Central High Plains","2009",27.0700486460552,2.67950928487591
"Central High Plains","2010",46.9855412021942,32.2465728583927
"Central High Plains","2011",50.1933947125121,34.8122302653608
"Central High Plains","2012",18.694012085672,56.8397484388469
"Central High Plains","2013",25.1074381742178,38.5465568195794
"Central High Plains","2014",38.1236349311279,31.0661823212104
"Central High Plains","2015",47.5957243817633,33.9796542149105
"Central High Plains","2016",52.9876778074288,36.7217266390115
"Central High Plains","2017",39.6263341635095,32.8375817759176
"Central High Plains","2018",39.0110976100597,29.2282719282349
"Central High Plains","2019",70.6474142287903,23.8324479923124
"Central High Plains","2020",34.2118912966943,42.2998865024105
"Central Rockies","2009",22.911034770842,1.06035809873461
"Central Rockies","2010",51.3793327118051,7.57706941317757
"Central Rockies","2011",75.3257567306164,6.46113155409043
"Central Rockies","2012",31.1939676460872,6.48680652911803
"Central Rockies","2013",40.9675981953917,5.48789277142089
"Central Rockies","2014",58.0085550429593,6.31634399683585
"Central Rockies","2015",56.5665505896495,6.75556562889302
"Central Rockies","2016",53.6890496869453,7.12440557934254
"Central Rockies","2017",74.1378704707618,6.89966581434278
"Central Rockies","2018",30.4603293208499,7.4743465125742
"Central Rockies","2019",67.7861103555325,7.04978420052993
"Central Rockies","2020",36.3876457052929,7.29441614642353
"Columbia-Snake","2009",95.467364633478,1.07964890430586
"Columbia-Snake","2010",201.502945160056,20.99095947072
"Columbia-Snake","2011",302.574679855266,20.3753404137313
"Columbia-Snake","2012",237.319203310224,22.1010442148452
"Columbia-Snake","2013",184.470079076984,21.7988455198446
"Columbia-Snake","2014",223.131506821958,24.0891362684061
"Columbia-Snake","2015",179.841967924183,25.434396611588
"Columbia-Snake","2016",236.551539462718,25.4111866217339
"Columbia-Snake","2017",302.924884100468,22.8017728859451
"Columbia-Snake","2018",233.418392127952,24.2121386268008
"Columbia-Snake","2019",214.989366434581,21.5376887405954
"Columbia-Snake","2020",203.240527812934,24.1207721063551
"Florida","2009",214.637277621771,17.8224025006363
"Florida","2010",243.202093804793,18.9816303244732
"Florida","2011",215.442097817361,23.2126453812981
"Florida","2012",330.433168756305,19.5709328067317
"Florida","2013",305.484311401296,19.9805672438011
"Florida","2014",314.647293967618,21.9889789454415
"Florida","2015",256.050846773223,22.3471333387375
"Florida","2016",346.310096033238,21.3460393205405
"Florida","2017",361.846403763938,19.0191514596587
"Florida","2018",379.391168507146,18.3472856519756
"Florida","2019",297.936677648531,20.3500280116053
"Florida","2020",279.737169269169,18.5977246050375
"Great Lakes","2009",304.243408587444,0.510559947702072
"Great Lakes","2010",275.465504073236,4.44239666296994
"Great Lakes","2011",283.764074815748,4.57474074634588
"Great Lakes","2012",182.015610324323,7.38366602615054
"Great Lakes","2013",289.16541350001,6.43348518163318
"Great Lakes","2014",349.839676718918,5.01814926424332
"Great Lakes","2015",269.370390452512,4.90836796008383
"Great Lakes","2016",322.957781770899,4.40141420261242
"Great Lakes","2017",318.84704927911,4.58051335929289
"Great Lakes","2018",295.737179233956,4.38228311079488
"Great Lakes","2019",387.467362599027,3.83218733697768
"Great Lakes","2020",265.055058516596,4.86735721111872
"Gulf Coast","2009",902.053191090125,0.693920193057221
"Gulf Coast","2010",260.47241388269,5.12322904982152
"Gulf Coast","2011",195.02844612669,7.49525516373946
"Gulf Coast","2012",310.982085683292,5.38626551117513
"Gulf Coast","2013",351.120190228647,5.87396407142493
"Gulf Coast","2014",271.601881239623,4.8896851999618
"Gulf Coast","2015",474.877573892868,4.65348641160339
"Gulf Coast","2016",410.736923834743,3.88815544152892
"Gulf Coast","2017",351.744442692963,3.92172302756202
"Gulf Coast","2018",440.258763272601,4.66487959350145
"Gulf Coast","2019",420.999372214194,3.99410234358709
"Gulf Coast","2020",355.854051100809,3.57995680914375
"Midwest","2009",353.871376856978,1.68109240302788
"Midwest","2010",294.61397304464,12.0075024597369
"Midwest","2011",316.33872960504,16.6478270108035
"Midwest","2012",140.776485693454,23.7713808592115
"Midwest","2013",282.586165314267,18.0238353617593
"Midwest","2014",261.618453725466,11.697539837001
"Midwest","2015",311.180458190585,11.8522148928803
"Midwest","2016",305.342012402112,11.9981088027176
"Midwest","2017",255.353792139604,13.7810084719173
"Midwest","2018",341.923541603392,10.6321775513522
"Midwest","2019",388.110692881617,9.12296983652541
"Midwest","2020",279.952702837394,14.5951281100362
"Mississippi Embayment","2009",918.65113329783,0.629062303773481
"Mississippi Embayment","2010",233.871108205828,80.8701311354237
"Mississippi Embayment","2011",287.41222507594,94.2238512623265
"Mississippi Embayment","2012",242.951877301038,104.602765506765
"Mississippi Embayment","2013",411.994667277208,75.1295124332088
"Mississippi Embayment","2014",297.715202904481,64.157242173633
"Mississippi Embayment","2015",371.822900591285,74.5068936507535
"Mississippi Embayment","2016",404.523357999022,57.1895596398191
"Mississippi Embayment","2017",283.969711540277,56.1419458742398
"Mississippi Embayment","2018",504.079655062524,62.8956171145977
"Mississippi Embayment","2019",651.120167684198,49.9406508261288
"Mississippi Embayment","2020",502.000266113374,53.5278639183631
"Northeast","2009",684.173053998507,0.781965788816492
"Northeast","2010",554.871474244257,4.56063244164034
"Northeast","2011",778.940354083458,3.88439615470916
"Northeast","2012",447.490001170583,4.4583625070751
"Northeast","2013",555.506842501787,4.24320247058654
"Northeast","2014",615.529970797642,4.0857979260323
"Northeast","2015",481.551788562802,4.2683809822077
"Northeast","2016",452.699481632715,4.20544621806031
"Northeast","2017",614.201050745126,3.65472636712338
"Northeast","2018",754.056000434114,3.45116919416201
"Northeast","2019",653.229403630207,3.88795507260695
"Northeast","2020",538.726765267461,3.54061736166766
"Northern High Plains","2009",24.25539379115,0.215198369224753
"Northern High Plains","2010",42.0128312658318,4.92823117176312
"Northern High Plains","2011",78.7584190010023,4.86659569681419
"Northern High Plains","2012",28.9297974036342,6.12762277403585
"Northern High Plains","2013",35.2173226526768,5.53303471716279
"Northern High Plains","2014",54.8918137643388,4.47357246112438
"Northern High Plains","2015",43.7825838646911,5.79010776160365
"Northern High Plains","2016",37.1521756831444,5.42441616073386
"Northern High Plains","2017",44.9329171930864,5.76130221778889
"Northern High Plains","2018",45.9588437196273,4.58103365165206
"Northern High Plains","2019",55.160780971468,3.81057051937088
"Northern High Plains","2020",39.6044468839204,5.49624997081187
"Pacific Northwest","2009",1004.27266790067,0.506040985449558
"Pacific Northwest","2010",1139.31786193485,5.41659917796413
"Pacific Northwest","2011",1012.40431684266,5.36296490558932
"Pacific Northwest","2012",1259.97241627424,5.92276487297321
"Pacific Northwest","2013",734.748626238823,6.3133563924601
"Pacific Northwest","2014",958.996371317626,6.79307923920741
"Pacific Northwest","2015",857.573453196538,7.40717013699055
"Pacific Northwest","2016",1254.06862273053,6.91442683669415
"Pacific Northwest","2017",1284.92851493667,6.2208896188579
"Pacific Northwest","2018",834.810628700508,7.00463146918432
"Pacific Northwest","2019",836.393424004667,6.07111467930925
"Pacific Northwest","2020",858.032968357478,6.45984533247889
"Souris-Red-Rainy","2009",121.775216785446,0.0523497067828742
"Souris-Red-Rainy","2010",123.014777813494,4.30591224755629
"Souris-Red-Rainy","2011",108.923855475824,6.40959274498618
"Souris-Red-Rainy","2012",28.9904862875731,9.23981107863286
"Souris-Red-Rainy","2013",51.6014302633715,7.67289915181625
"Souris-Red-Rainy","2014",99.4643658536083,5.27785850863163
"Souris-Red-Rainy","2015",63.5785086732606,6.49280567667825
"Souris-Red-Rainy","2016",77.3728125414505,5.6727531624012
"Souris-Red-Rainy","2017",57.3759048676726,5.51965315436186
"Souris-Red-Rainy","2018",66.2384858395905,4.69999510061663
"Souris-Red-Rainy","2019",157.283067084115,3.47229249876239
