sui_category_5,STATES,total_hucs,n_cat_sui,prop_cat_sui,d3_percentage,d3_category
High,AZ,3299,131,0.03970900272809942,0.03970900272809942,High
High,CA,4413,395,0.08950827101744845,0.08950827101744845,High
High,CO,3158,280,0.08866371120962635,0.08866371120962635,High
High,DE,106,1,0.009433962264150943,0.009433962264150943,High
High,FL,1355,36,0.026568265682656828,0.026568265682656828,High
High,GA,1851,2,0.0010804970286331713,0.0010804970286331713,High
High,ID,2669,67,0.02510303484451105,0.02510303484451105,High
High,IL,1878,1,5.324813631522897e-4,5.324813631522897e-4,High
High,IN,1589,1,6.293266205160479e-4,6.293266205160479e-4,High
High,KS,2057,589,0.28633932912007776,0.28633932912007776,High
High,LA,1261,1,7.930214115781126e-4,7.930214115781126e-4,High
High,MI,1843,1,5.425935973955507e-4,5.425935973955507e-4,High
High,MO,2000,2,0.001,0.001,High
High,MT,4420,1,2.2624434389140272e-4,2.2624434389140272e-4,High
High,MX,273,6,0.02197802197802198,0.02197802197802198,High
High,NC,1762,1,5.675368898978433e-4,5.675368898978433e-4,High
High,ND,1935,3,0.0015503875968992248,0.0015503875968992248,High
High,NE,2105,92,0.043705463182897863,0.043705463182897863,High
High,NJ,272,1,0.003676470588235294,0.003676470588235294,High
High,NM,3225,212,0.06573643410852713,0.06573643410852713,High
High,NV,2564,19,0.0074102964118564745,0.0074102964118564745,High
High,OH,1538,1,6.501950585175553e-4,6.501950585175553e-4,High
High,OK,2079,275,0.13227513227513227,0.13227513227513227,High
High,OR,3119,15,0.0048092337287592175,0.0048092337287592175,High
High,SC,948,2,0.002109704641350211,0.002109704641350211,High
High,SD,2411,4,0.0016590626296142678,0.0016590626296142678,High
High,TX,6345,1014,0.15981087470449173,0.15981087470449173,High
High,UT,2557,38,0.014861165428236215,0.014861165428236215,High
High,WA,2017,66,0.03272186415468518,0.03272186415468518,High
High,WY,2385,5,0.0020964360587002098,0.0020964360587002098,High
Low,AL,1484,263,0.17722371967654987,0.17722371967654987,Low
Low,AR,1556,1048,0.6735218508997429,0.6735218508997429,Low
Low,AZ,3299,1637,0.4962109730221279,0.4962109730221279,Low
Low,CA,4413,1901,0.430772716972581,0.430772716972581,Low
Low,CN,467,120,0.2569593147751606,0.2569593147751606,Low
Low,CO,3158,966,0.3058898036732109,0.3058898036732109,Low
Low,CT,184,6,0.03260869565217391,0.03260869565217391,Low
Low,DC,7,3,0.42857142857142855,0.42857142857142855,Low
Low,DE,106,52,0.49056603773584906,0.49056603773584906,Low
Low,FL,1355,515,0.3800738007380074,0.3800738007380074,Low
Low,GA,1851,787,0.4251755807671529,0.4251755807671529,Low
Low,IA,1713,1457,0.8505545826036194,0.8505545826036194,Low
Low,ID,2669,397,0.14874484825777445,0.14874484825777445,Low
Low,IL,1878,1287,0.6853035143769968,0.6853035143769968,Low
Low,IN,1589,713,0.4487098804279421,0.4487098804279421,Low
Low,KS,2057,894,0.43461351482741856,0.43461351482741856,Low
Low,KY,1304,524,0.401840490797546,0.401840490797546,Low
Low,LA,1261,755,0.598731165741475,0.598731165741475,Low
Low,MA,246,7,0.028455284552845527,0.028455284552845527,Low
Low,MD,404,73,0.1806930693069307,0.1806930693069307,Low
Low,ME,1035,18,0.017391304347826087,0.017391304347826087,Low
Low,MI,1843,203,0.1101465002712968,0.1101465002712968,Low
Low,MN,2482,1191,0.4798549556809025,0.4798549556809025,Low
