STATES,d3_category,category_hucs,category_sqkm,total_load,total_hucs,total_sqkm,prop_sqkm,d3_percentage
AL,0 - 100,0,0,0,1484,143658.15999999995,0,0
AL,100 - 500,0,0,0,1484,143658.15999999995,0,0
AL,500 - 1000,0,0,0,1484,143658.15999999995,0,0
AL,1000 - 2000,0,0,0,1484,143658.15999999995,0,0
AL,2000 - 3000,0,0,0,1484,143658.15999999995,0,0
AL,3000 - 6000,0,0,0,1484,143658.15999999995,0,0
AL,6000 - 12000,1,0,8714.5282,1484,143658.15999999995,0,7e-4
AL,12000 - 30000,32,1253.1200000000003,848175.6705,1484,143658.15999999995,0.0087,0.0216
AL,30000 - 120000,1148,104860.48999999999,79560310.9361,1484,143658.15999999995,0.7299,0.7736
AL,>120000,303,37544.549999999996,67439649.1608,1484,143658.15999999995,0.2613,0.2042
AR,0 - 100,0,0,0,1556,149181.59000000046,0,0
AR,100 - 500,0,0,0,1556,149181.59000000046,0,0
AR,500 - 1000,0,0,0,1556,149181.59000000046,0,0
AR,1000 - 2000,0,0,0,1556,149181.59000000046,0,0
AR,2000 - 3000,0,0,0,1556,149181.59000000046,0,0
AR,3000 - 6000,0,0,0,1556,149181.59000000046,0,0
AR,6000 - 12000,0,0,0,1556,149181.59000000046,0,0
AR,12000 - 30000,11,535.4699999999999,283407.4546,1556,149181.59000000046,0.0036,0.0071
AR,30000 - 120000,943,82990.10000000003,71163551.0475,1556,149181.59000000046,0.5563,0.606
AR,>120000,602,65656.01999999993,130640604.6776,1556,149181.59000000046,0.4401,0.3869
AZ,0 - 100,34,2125.71,2179.8185,3299,307785.1799999999,0.0069,0.0103
AZ,100 - 500,690,53525.40999999998,223716.5044,3299,307785.1799999999,0.1739,0.2092
AZ,500 - 1000,784,69974.89999999992,573120.434,3299,307785.1799999999,0.2273,0.2376
AZ,1000 - 2000,700,65113.93000000009,1009581.3828,3299,307785.1799999999,0.2116,0.2122
AZ,2000 - 3000,388,40720.46000000003,954489.5811,3299,307785.1799999999,0.1323,0.1176
AZ,3000 - 6000,364,37393.45,1556884.8581,3299,307785.1799999999,0.1215,0.1103
AZ,6000 - 12000,214,22580.37000000001,1738098.7434,3299,307785.1799999999,0.0734,0.0649
AZ,12000 - 30000,84,9693.319999999998,1442684.1599,3299,307785.1799999999,0.0315,0.0255
AZ,30000 - 120000,18,3949.2899999999995,818699.782,3299,307785.1799999999,0.0128,0.0055
AZ,>120000,23,2708.3399999999992,17073694.4291,3299,307785.1799999999,0.0088,0.007
CA,0 - 100,4,271.15999999999997,95.5528,4414,415979.17000000074,7e-4,9e-4
CA,100 - 500,295,26183.059999999998,98573.0946,4414,415979.17000000074,0.0629,0.0668
CA,500 - 1000,298,29105.03000000002,217347.0418,4414,415979.17000000074,0.07,0.0675
CA,1000 - 2000,281,29969.089999999982,393468.7437,4414,415979.17000000074,0.072,0.0637
CA,2000 - 3000,98,10796.989999999996,240089.8541,4414,415979.17000000074,0.026,0.0222
CA,3000 - 6000,222,20118.719999999994,976677.702,4414,415979.17000000074,0.0484,0.0503
CA,6000 - 12000,401,33820.449999999975,3621782.5953,4414,415979.17000000074,0.0813,0.0908
CA,12000 - 30000,1263,105657.25000000007,25701335.8681,4414,415979.17000000074,0.254,0.2861
CA,30000 - 120000,1040,99191.12999999998,54356210.977,4414,415979.17000000074,0.2385,0.2356
CA,>120000,512,60866.29000000001,245855681.4553,4414,415979.17000000074,0.1463,0.116
CN,0 - 100,7,693.0699999999999,0,466,46523.41999999999,0.0149,0.015
CN,100 - 500,6,452.40000000000003,1706.1191,466,46523.41999999999,0.0097,0.0129
CN,500 - 1000,7,630.22,5294.8542,466,46523.41999999999,0.0135,0.015
CN,1000 - 2000,15,1231.3400000000001,22498.5078,466,46523.41999999999,0.0265,0.0322
CN,2000 - 3000,17,1619.1699999999998,43097.2971,466,46523.41999999999,0.0348,0.0365
CN,3000 - 6000,48,4062.3199999999997,218362.8309,466,46523.41999999999,0.0873,0.103
CN,6000 - 12000,68,6161.88,563712.4021,466,46523.41999999999,0.1324,0.1459
CN,12000 - 30000,94,8146.040000000004,1820044.196,466,46523.41999999999,0.1751,0.2017
CN,30000 - 120000,156,17086.390000000003,9213998.861,466,46523.41999999999,0.3673,0.3348
CN,>120000,48,6440.590000000002,20292527.4442,466,46523.41999999999,0.1384,0.103
CO,0 - 100,0,0,0,3158,287109.3899999993,0,0
CO,100 - 500,17,842.0100000000002,6966.3988,3158,287109.3899999993,0.0029,0.0054
CO,500 - 1000,123,9241.67,94772.5923,3158,287109.3899999993,0.0322,0.0389
CO,1000 - 2000,282,21368.88,422442.6303,3158,287109.3899999993,0.0744,0.0893
