STATES,d3_category,category_hucs,category_sqkm,total_load,total_hucs,total_sqkm,prop_sqkm,d3_percentage
AL,0 - 10,0,0,0,1483,143626.68999999994,0,0
AL,10 - 40,0,0,0,1483,143626.68999999994,0,0
AL,40 - 85,0,0,0,1483,143626.68999999994,0,0
AL,85 - 160,0,0,0,1483,143626.68999999994,0,0
AL,160 - 290,0,0,0,1483,143626.68999999994,0,0
AL,290 - 520,1,0,335.4316,1483,143626.68999999994,0,7e-4
AL,520 - 1000,0,0,0,1483,143626.68999999994,0,0
AL,1000 - 2500,33,1515.27,70784.1498,1483,143626.68999999994,0.0106,0.0223
AL,2500 - 10000,901,77856.0899999999,5360082.9194,1483,143626.68999999994,0.5421,0.6076
AL,>10000,548,64255.33000000007,12665208.6382,1483,143626.68999999994,0.4474,0.3695
AR,0 - 10,0,0,0,1545,146111.30000000034,0,0
AR,10 - 40,0,0,0,1545,146111.30000000034,0,0
AR,40 - 85,0,0,0,1545,146111.30000000034,0,0
AR,85 - 160,0,0,0,1545,146111.30000000034,0,0
AR,160 - 290,0,0,0,1545,146111.30000000034,0,0
AR,290 - 520,0,0,0,1545,146111.30000000034,0,0
AR,520 - 1000,0,0,0,1545,146111.30000000034,0,0
AR,1000 - 2500,26,1520.9,52738.9896,1545,146111.30000000034,0.0104,0.0168
AR,2500 - 10000,510,45441.21000000001,3092815.99,1545,146111.30000000034,0.311,0.3301
AR,>10000,1009,99149.19000000003,39168709.1456,1545,146111.30000000034,0.6786,0.6531
AZ,0 - 10,2619,239066.97000000003,355.0773,2958,275646.9200000001,0.8673,0.8854
AZ,10 - 40,75,6840.200000000001,1650.414,2958,275646.9200000001,0.0248,0.0254
AZ,40 - 85,32,3147.59,1851.0014,2958,275646.9200000001,0.0114,0.0108
AZ,85 - 160,47,6511.039999999999,5563.4688,2958,275646.9200000001,0.0236,0.0159
AZ,160 - 290,40,3734.31,8576.5808,2958,275646.9200000001,0.0135,0.0135
AZ,290 - 520,62,5969.739999999999,24167.286,2958,275646.9200000001,0.0217,0.021
AZ,520 - 1000,49,5584.629999999999,34897.5034,2958,275646.9200000001,0.0203,0.0166
AZ,1000 - 2500,28,4000.4500000000003,49666.3515,2958,275646.9200000001,0.0145,0.0095
AZ,2500 - 10000,5,653.0300000000001,14795.2013,2958,275646.9200000001,0.0024,0.0017
AZ,>10000,1,138.96,51612.9122,2958,275646.9200000001,5e-4,3e-4
CA,0 - 10,837,83472.38000000003,214.6747,4150,389026.2300000008,0.2146,0.2017
CA,10 - 40,131,13700.219999999996,2940.1785,4150,389026.2300000008,0.0352,0.0316
CA,40 - 85,75,7220.070000000002,4483.3938,4150,389026.2300000008,0.0186,0.0181
CA,85 - 160,83,7983.420000000002,9856.9154,4150,389026.2300000008,0.0205,0.02
CA,160 - 290,93,8546.1,21405.766,4150,389026.2300000008,0.022,0.0224
CA,290 - 520,92,8861.07,37170.1944,4150,389026.2300000008,0.0228,0.0222
CA,520 - 1000,253,19617.960000000003,195085.9837,4150,389026.2300000008,0.0504,0.061
CA,1000 - 2500,771,62700.51000000002,1334359.9901,4150,389026.2300000008,0.1612,0.1858
CA,2500 - 10000,1191,107140.9099999999,5829212.3681,4150,389026.2300000008,0.2754,0.287
