category,region_nam,total_load,load_1kMg,sum_total,sum_1kMg,percent_load,nutrient,aggregion_nam
Agriculture,Atlantic Coast,6605208.258733201,6.605208258733201,22913112.787890945,22.913112787890945,28.82719742131197,tp,Southeast
Agriculture,California-Nevada,3330257.523454841,3.3302575234548413,20035205.530364633,20.03520553036463,16.622028251258133,tp,Western
Agriculture,Central High Plains,5995861.285145602,5.995861285145602,8547738.641257012,8.547738641257013,70.14558512827743,tp,High Plains
Agriculture,Central Rockies,144773.49422977038,0.14477349422977037,2550314.462653735,2.550314462653735,5.676691888384855,tp,Western
Agriculture,Columbia-Snake,2159076.660323887,2.1590766603238873,11543802.21297748,11.54380221297748,18.703340723359457,tp,Western
Agriculture,Florida,1915502.0709961196,1.9155020709961197,5880469.512021162,5.880469512021161,32.573964835296756,tp,Southeast
Agriculture,Great Lakes,9423645.980270376,9.423645980270376,19057030.87284318,19.05703087284318,49.449707266305296,tp,Northeast through Midwest
Agriculture,Gulf Coast,17547252.796631567,17.547252796631568,36222164.723018974,36.22216472301898,48.44341284075822,tp,Southeast
Agriculture,Midwest,55344220.53327367,55.34422053327367,91752225.60325061,91.75222560325061,60.319213151940076,tp,Northeast through Midwest
Agriculture,Mississippi Embayment,15677081.971028095,15.677081971028095,20314194.118060827,20.314194118060826,77.17304402979002,tp,Southeast
Agriculture,Northeast,7759545.706884476,7.759545706884476,34216994.40902099,34.21699440902099,22.677461422031694,tp,Northeast through Midwest
Agriculture,Northern High Plains,3272339.930703915,3.2723399307039154,7611969.97190128,7.61196997190128,42.98939621127494,tp,High Plains
Agriculture,Pacific Northwest,5867070.253450005,5.867070253450005,18908001.9985521,18.9080019985521,31.029562266279022,tp,Western
Agriculture,Souris-Red-Rainy,12661778.569386484,12.661778569386485,16130055.564633183,16.13005556463318,78.49804682104595,tp,Northeast through Midwest
Agriculture,Southern High Plains,10663872.718926154,10.663872718926154,16342744.507749872,16.342744507749874,65.25141914731184,tp,High Plains
Agriculture,Southwest Desert,117698.29772689188,0.11769829772689187,3320337.283167065,3.3203372831670652,3.5447693318260343,tp,Western
Agriculture,Tennessee-Missouri,37989653.92143833,37.98965392143833,83017045.34473562,83.01704534473562,45.76126958467738,tp,Southeast
Agriculture,Texas,4399971.6569065675,4.399971656906567,7753837.743111556,7.753837743111556,56.745727763203,tp,Southeast
Atmospheric deposition,Atlantic Coast,0,0,22913112.787890945,22.913112787890945,0,tp,Southeast
Atmospheric deposition,California-Nevada,0,0,20035205.530364633,20.03520553036463,0,tp,Western
Atmospheric deposition,Central High Plains,0,0,8547738.641257012,8.547738641257013,0,tp,High Plains
Atmospheric deposition,Central Rockies,0,0,2550314.462653735,2.550314462653735,0,tp,Western
Atmospheric deposition,Columbia-Snake,0,0,11543802.21297748,11.54380221297748,0,tp,Western
Atmospheric deposition,Florida,0,0,5880469.512021162,5.880469512021161,0,tp,Southeast
Atmospheric deposition,Great Lakes,0,0,19057030.87284318,19.05703087284318,0,tp,Northeast through Midwest
Atmospheric deposition,Gulf Coast,0,0,36222164.723018974,36.22216472301898,0,tp,Southeast
Atmospheric deposition,Midwest,0,0,91752225.60325061,91.75222560325061,0,tp,Northeast through Midwest
Atmospheric deposition,Mississippi Embayment,0,0,20314194.118060827,20.314194118060826,0,tp,Southeast
Atmospheric deposition,Northeast,0,0,34216994.40902099,34.21699440902099,0,tp,Northeast through Midwest
Atmospheric deposition,Northern High Plains,0,0,7611969.97190128,7.61196997190128,0,tp,High Plains
Atmospheric deposition,Pacific Northwest,0,0,18908001.9985521,18.9080019985521,0,tp,Western
Atmospheric deposition,Souris-Red-Rainy,0,0,16130055.564633183,16.13005556463318,0,tp,Northeast through Midwest
Atmospheric deposition,Southern High Plains,0,0,16342744.507749872,16.342744507749874,0,tp,High Plains
