Status,Category,Parameter,riverMiles,totalMiles,percentMiles,Use,UseAbbr
Impaired,Biotic,Algal Growth,1499,387963.249,0.4,Drinking Water Use,DW
Impaired,Nutrients,Ammonia,381,387963.249,0.1,Drinking Water Use,DW
Impaired,Biotic,Biotoxins,1638,387963.249,0.4,Drinking Water Use,DW
Impaired,Organics,Dioxins,845,387963.249,0.2,Drinking Water Use,DW
Impaired,Metals and Physical,Mercury,5748,387963.249,1.5,Drinking Water Use,DW
Impaired,Metals and Physical,Metals Other than Mercury,90943,387963.249,23.4,Drinking Water Use,DW
Impaired,Nutrients,Other Nutrients,15112,387963.249,3.9,Drinking Water Use,DW
Impaired,Organics,Oil and Grease,91,387963.249,0,Drinking Water Use,DW
Impaired,Metals and Physical,Oxygen Depletion,15641,387963.249,4,Drinking Water Use,DW
Impaired,Biotic,Pathogens,20973,387963.249,5.4,Drinking Water Use,DW
Impaired,Organics,Pesticides,6365,387963.249,1.6,Drinking Water Use,DW
Impaired,Metals and Physical,Acidity/pH,6888,387963.249,1.8,Drinking Water Use,DW
Impaired,Organics,PCBs,1998,387963.249,0.5,Drinking Water Use,DW
Impaired,Sediment,Sediment,28631,387963.249,7.4,Drinking Water Use,DW
Impaired,Salinity,Chlorides Sulfates,43046,387963.249,11.1,Drinking Water Use,DW
Impaired,Temp,Temperature,27253,387963.249,7,Drinking Water Use,DW
Impaired,Organics,Toxic Organics,427,387963.249,0.1,Drinking Water Use,DW
Impaired,Sediment,Turbidity,9333,387963.249,2.4,Drinking Water Use,DW
Impaired,Biotic,Algal Growth,4805,1278452.8528,0.4,Ecological Use,Eco
Impaired,Nutrients,Ammonia,4859,1278452.8528,0.4,Ecological Use,Eco
Impaired,Biotic,Biotoxins,6389,1278452.8528,0.5,Ecological Use,Eco
Impaired,Organics,Dioxins,2701,1278452.8528,0.2,Ecological Use,Eco
Impaired,Metals and Physical,Mercury,36389,1278452.8528,2.8,Ecological Use,Eco
Impaired,Metals and Physical,Metals Other than Mercury,92077,1278452.8528,7.2,Ecological Use,Eco
Impaired,Nutrients,Other Nutrients,73178,1278452.8528,5.7,Ecological Use,Eco
Impaired,Organics,Oil and Grease,800,1278452.8528,0.1,Ecological Use,Eco
Impaired,Metals and Physical,Oxygen Depletion,75899,1278452.8528,5.9,Ecological Use,Eco
Impaired,Biotic,Pathogens,108652,1278452.8528,8.5,Ecological Use,Eco
Impaired,Organics,Pesticides,16794,1278452.8528,1.3,Ecological Use,Eco
Impaired,Metals and Physical,Acidity/pH,27766,1278452.8528,2.2,Ecological Use,Eco
Impaired,Organics,PCBs,23676,1278452.8528,1.9,Ecological Use,Eco
Impaired,Sediment,Sediment,106045,1278452.8528,8.3,Ecological Use,Eco
Impaired,Salinity,Chlorides Sulfates,32898,1278452.8528,2.6,Ecological Use,Eco
Impaired,Temp,Temperature,154623,1278452.8528,12.1,Ecological Use,Eco
Impaired,Organics,Toxic Organics,1803,1278452.8528,0.1,Ecological Use,Eco
Impaired,Sediment,Turbidity,48140,1278452.8528,3.8,Ecological Use,Eco
Impaired,Biotic,Algal Growth,1732,364467.8757,0.5,Fish Consumption Use,Fish
Impaired,Nutrients,Ammonia,1997,364467.8757,0.5,Fish Consumption Use,Fish
Impaired,Organics,Dioxins,4879,364467.8757,1.3,Fish Consumption Use,Fish
Impaired,Metals and Physical,Mercury,61058,364467.8757,16.8,Fish Consumption Use,Fish
Impaired,Metals and Physical,Metals Other than Mercury,9238,364467.8757,2.5,Fish Consumption Use,Fish
Impaired,Nutrients,Other Nutrients,5622,364467.8757,1.5,Fish Consumption Use,Fish
Impaired,Organics,Oil and Grease,137,364467.8757,0,Fish Consumption Use,Fish
Impaired,Metals and Physical,Oxygen Depletion,8997,364467.8757,2.5,Fish Consumption Use,Fish
Impaired,Biotic,Pathogens,37528,364467.8757,10.3,Fish Consumption Use,Fish
Impaired,Organics,Pesticides,10481,364467.8757,2.9,Fish Consumption Use,Fish
Impaired,Metals and Physical,Acidity/pH,6127,364467.8757,1.7,Fish Consumption Use,Fish
Impaired,Organics,PCBs,72915,364467.8757,20,Fish Consumption Use,Fish
Impaired,Sediment,Sediment,5591,364467.8757,1.5,Fish Consumption Use,Fish
Impaired,Salinity,Chlorides Sulfates,2055,364467.8757,0.6,Fish Consumption Use,Fish
Impaired,Temp,Temperature,6606,364467.8757,1.8,Fish Consumption Use,Fish
Impaired,Organics,Toxic Organics,2279,364467.8757,0.6,Fish Consumption Use,Fish
Impaired,Sediment,Turbidity,5028,364467.8757,1.4,Fish Consumption Use,Fish
Impaired,Biotic,Algal Growth,2809,291998.16359999997,1,Other Use,Other
Impaired,Nutrients,Ammonia,613,291998.16359999997,0.2,Other Use,Other
Impaired,Organics,Dioxins,766,291998.16359999997,0.3,Other Use,Other
Impaired,Metals and Physical,Mercury,2715,291998.16359999997,0.9,Other Use,Other
Impaired,Metals and Physical,Metals Other than Mercury,7295,291998.16359999997,2.5,Other Use,Other
Impaired,Nutrients,Other Nutrients,3623,291998.16359999997,1.2,Other Use,Other
Impaired,Organics,Oil and Grease,287,291998.16359999997,0.1,Other Use,Other
Impaired,Metals and Physical,Oxygen Depletion,5741,291998.16359999997,2,Other Use,Other
