d3_category,total_use,d3_percentage,Region_nam_nospace,Region_nam,AggReg_nam,total_region
ir_total,110886.56340000003,45.91616051319703,All_regions,All Regions,All Regions,225074.7748
ps_total,35686.805400000005,14.777273591198933,All_regions,All Regions,All Regions,225074.7748
te_saline,18612.5771,7.7071382815337115,All_regions,All Regions,All Regions,225074.7748
te_total,59888.82889999999,24.798902557744807,All_regions,All Regions,All Regions,225074.7748
ir_total,1001.1529,5.8793,Atlantic_Coast,Atlantic Coast,Southeast,17028.516081829606
ps_total,2837.9379,16.6658,Atlantic_Coast,Atlantic Coast,Southeast,17028.516081829606
te_saline,3143.7739,18.4618,Atlantic_Coast,Atlantic Coast,Southeast,17028.516081829606
te_total,10045.6514,58.9931,Atlantic_Coast,Atlantic Coast,Southeast,17028.516081829606
ir_total,27229.8613,78.4671,California-Nevada,California-Nevada,Western,34702.260924664304
ps_total,5258.6915,15.1537,California-Nevada,California-Nevada,Western,34702.260924664304
te_saline,2173.805,6.2642,California-Nevada,California-Nevada,Western,34702.260924664304
te_total,39.9031,0.115,California-Nevada,California-Nevada,Western,34702.260924664304
ir_total,13845.2157,93.3154,Central_High_Plains,Central High Plains,High Plains,14837.006573503195
ps_total,723.0612,4.8734,Central_High_Plains,Central High Plains,High Plains,14837.006573503195
te_saline,0,0,Central_High_Plains,Central High Plains,High Plains,14837.006573503195
te_total,268.7297,1.8112,Central_High_Plains,Central High Plains,High Plains,14837.006573503195
ir_total,3667.9914,89.8948,Central_Rockies,Central Rockies,Western,4080.313634092684
ps_total,276.8428,6.7848,Central_Rockies,Central Rockies,Western,4080.313634092684
te_saline,0,0,Central_Rockies,Central Rockies,Western,4080.313634092684
te_total,135.4795,3.3203,Central_Rockies,Central Rockies,Western,4080.313634092684
ir_total,15407.4567,95.8869,Columbia-Snake,Columbia-Snake,Western,16068.361659605034
ps_total,627.5344,3.9054,Columbia-Snake,Columbia-Snake,Western,16068.361659605034
te_saline,0,0,Columbia-Snake,Columbia-Snake,Western,16068.361659605034
te_total,33.3706,0.2077,Columbia-Snake,Columbia-Snake,Western,16068.361659605034
ir_total,2666.3083,25.069,Florida,Florida,Southeast,10635.897117720027
ps_total,1958.3588,18.4127,Florida,Florida,Southeast,10635.897117720027
te_saline,5866.6962,55.1594,Florida,Florida,Southeast,10635.897117720027
te_total,144.5338,1.3589,Florida,Florida,Southeast,10635.897117720027
ir_total,1375.5823,15.1146,Great_Lakes,Great Lakes,Northeast through Midwest,9100.993788331953
ps_total,1164.7943,12.7985,Great_Lakes,Great Lakes,Northeast through Midwest,9100.993788331953
te_saline,0,0,Great_Lakes,Great Lakes,Northeast through Midwest,9100.993788331953
te_total,6560.6172,72.0868,Great_Lakes,Great Lakes,Northeast through Midwest,9100.993788331953
ir_total,975.7297,9.5021,Gulf_Coast,Gulf Coast,Southeast,10268.604292146283
ps_total,3360.9254,32.7301,Gulf_Coast,Gulf Coast,Southeast,10268.604292146283
te_saline,590.0955,5.7466,Gulf_Coast,Gulf Coast,Southeast,10268.604292146283
te_total,5341.8537,52.0212,Gulf_Coast,Gulf Coast,Southeast,10268.604292146283
ir_total,6850.265,29.012,Midwest,Midwest,Northeast through Midwest,23611.85125611475
