use_type,source_type,water_year,total_wu_mgy,total_days_per_year,mgd,Use
ir,total,2010,36034971.14854898,365,98725.94835218899,Irrigation
ir,total,2011,39531972.314202406,365,108306.77346356823,Irrigation
ir,total,2012,45490030.96809943,366,124289.70209863232,Irrigation
ir,total,2013,40360383.6362792,365,110576.3935240526,Irrigation
ir,total,2014,38032964.51591582,365,104199.90278333101,Irrigation
ir,total,2015,38727822.92978059,365,106103.6244651523,Irrigation
ir,total,2016,38232691.34329969,366,104460.90530956199,Irrigation
ir,total,2017,36941589.644907996,365,101209.83464358356,Irrigation
ir,total,2018,37619047.5399757,365,103065.8836711663,Irrigation
ir,total,2019,32920807.390465856,365,90193.99285059138,Irrigation
ir,total,2020,39678696.561494924,366,108411.73923905718,Irrigation
ps,total,2010,12563517.914579205,365,34420.597026244395,Public Supply
ps,total,2011,12970249.096198121,365,35534.929030679785,Public Supply
ps,total,2012,12950327.752865588,366,35383.40916083494,Public Supply
ps,total,2013,12775733.104867358,365,35002.00850648591,Public Supply
ps,total,2014,12777995.281759888,365,35008.20625139695,Public Supply
ps,total,2015,12709350.935872551,365,34820.139550335756,Public Supply
ps,total,2016,12690705.285873117,366,34674.05815812327,Public Supply
ps,total,2017,12819878.34534188,365,35122.95437079967,Public Supply
ps,total,2018,13078900.810782837,365,35832.60496104887,Public Supply
ps,total,2019,12846853.986521369,365,35196.86023704485,Public Supply
ps,total,2020,13020334.318586797,366,35574.68393056502,Public Supply
te,saline,2010,7990369.902838014,365,21891.424391337026,Thermoelectric (saline)
te,saline,2011,7826514.383501029,365,21442.505160276793,Thermoelectric (saline)
te,saline,2012,7570511.668899966,366,20684.458111748543,Thermoelectric (saline)
te,saline,2013,7827415.009947047,365,21444.97262999191,Thermoelectric (saline)
te,saline,2014,8356605.115282648,365,22894.808535020955,Thermoelectric (saline)
te,saline,2015,8321026.705816955,365,22797.333440594397,Thermoelectric (saline)
te,saline,2016,7921042.306961433,366,21642.19209552304,Thermoelectric (saline)
te,saline,2017,7539596.172750448,365,20656.42787054917,Thermoelectric (saline)
te,saline,2018,7701850.649652744,365,21100.96068398012,Thermoelectric (saline)
te,saline,2019,7211486.569002537,365,19757.497449322018,Thermoelectric (saline)
te,saline,2020,6947121.896397577,366,18981.207367206494,Thermoelectric (saline)
te,total,2010,37587111.95828964,365,102978.38892682093,Thermoelectric (fresh)
te,total,2011,36457699.48772122,365,99884.10818553758,Thermoelectric (fresh)
te,total,2012,33535559.188389476,366,91627.21089723901,Thermoelectric (fresh)
te,total,2013,32993347.00932885,365,90392.73153240781,Thermoelectric (fresh)
te,total,2014,32733489.244455162,365,89680.79245056209,Thermoelectric (fresh)
te,total,2015,30311062.753687274,365,83044.0075443487,Thermoelectric (fresh)
te,total,2016,27881084.9974659,366,76177.82786192869,Thermoelectric (fresh)
te,total,2017,26856014.4829712,365,73578.12187115397,Thermoelectric (fresh)
te,total,2018,26728200.00400319,365,73227.9452164471,Thermoelectric (fresh)
te,total,2019,24370863.758921176,365,66769.48975046897,Thermoelectric (fresh)
te,total,2020,22410769.793479886,366,61231.61145759532,Thermoelectric (fresh)
